Title,Description,URL
"At least 30 killed and over 100 injured in an Israeli airstrike on a school in Gaza, Palestinian officials say - CNN",,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3LmNubi5jb20vMjAyNC8wNy8yNy9taWRkbGVlYXN0L2lzcmFlbC1nYXphLWRlaXItYWwtYmFsYWgtc2Nob29sLWludGwvaW5kZXguaHRtbNIBU2h0dHBzOi8vYW1wLmNubi5jb20vY25uLzIwMjQvMDcvMjcvbWlkZGxlZWFzdC9pc3JhZWwtZ2F6YS1kZWlyLWFsLWJhbGFoLXNjaG9vbC1pbnRs?oc=5
Retired Astronaut Admits Boeing's Starliner Has Trapped Crew in Space - Futurism,,https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vZnV0dXJpc20uY29tL3RoZS1ieXRlL3JldGlyZWQtYXN0cm9uYXV0LWJvZWluZy1zdGFybGluZXLSAQA?oc=5
"Food delivery fees are rising, and everyone's feeling the pinch - CNBC","Frustrations from both sides of the table have hit services like DoorDash, Grubhub and Uber Eats, which have introduced reduced-fee options.",https://www.cnbc.com/2024/07/27/food-delivery-fees-are-rising.html
Scientists delve into the give-and-take of chimp conversations - The Washington Post,,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9zY2llbmNlLzIwMjQvMDcvMjcvY2hpbXAtY29tbXVuaWNhdGlvbi1nZXN0dXJlcy1odW1hbnMv0gEA?oc=5
All U.S. medal winners – full list - Olympics,,https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vb2x5bXBpY3MuY29tL2VuL25ld3Mvb2x5bXBpYy1nYW1lcy1wYXJpcy0yMDI0LWFsbC11LXMtbWVkYWwtd2lubmVycy1mdWxsLWxpc3TSAQA?oc=5
Here's who is most at risk from wildfire smoke and how to protect yourself - NPR,,https://news.google.com/rss/articles/CBMifGh0dHBzOi8vd3d3Lm5wci5vcmcvc2VjdGlvbnMvc2hvdHMtaGVhbHRoLW5ld3MvMjAyNC8wNy8yNi9ueC1zMS01MDQ5ODI4L3dpbGRmaXJlLXNtb2tlLWhlYWx0aC1yaXNrcy1zYWZldHktYWlyLXF1YWxpdHktaW5kZXjSAQA?oc=5
Deli meat listeria recall: Which products are included - WDIV ClickOnDetroit,,https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LmNsaWNrb25kZXRyb2l0LmNvbS9jb25zdW1lci9oZWxwLW1lLWhhbmsvMjAyNC8wNy8yNy9kZWxpLW1lYXQtbGlzdGVyaWEtcmVjYWxsLXdoaWNoLXByb2R1Y3RzLWFyZS1pbmNsdWRlZC_SAQA?oc=5
What to Know About Kamala Harris’s Foreign Policy Positions - The New York Times,,https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDcvMjcvd29ybGQva2FtYWxhLWhhcnJpcy1mb3JlaWduLXBvbGljeS1wb3NpdGlvbnMuaHRtbNIBAA?oc=5
Firefighters Race to Contain Wildfires in California and Oregon - The New York Times,,https://news.google.com/rss/articles/CBMiTGh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDcvMjcvdXMvY2FsaWZvcm5pYS1vcmVnb24td2lsZGZpcmVzLXNtb2tlLmh0bWzSAQA?oc=5
SpaceX launches Falcon 9 return to flight mission from the Kennedy Space Center - Spaceflight Now,,https://news.google.com/rss/articles/CBMilAFodHRwczovL3NwYWNlZmxpZ2h0bm93LmNvbS8yMDI0LzA3LzI2L2xpdmUtY292ZXJhZ2Utc3BhY2V4LXByZXBhcmVzLWZvci1yZXR1cm4tdG8tZmxpZ2h0LW1pc3Npb24td2l0aC1mYWxjb24tOS1sYXVuY2gtZnJvbS10aGUta2VubmVkeS1zcGFjZS1jZW50ZXIv0gEA?oc=5
Hindenburg Could Be In Trouble As US SEC Squeezes Shortsellers - NDTV Profit,,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm5kdHZwcm9maXQuY29tL2xhdy1hbmQtcG9saWN5L2hpbmRlbmJ1cmctY291bGQtYmUtaW4tdHJvdWJsZS1hcy11cy1zZWMtc3F1ZWV6ZXMtc2hvcnRzZWxsZXJz0gFsaHR0cHM6Ly93d3cubmR0dnByb2ZpdC5jb20vYW1wL2xhdy1hbmQtcG9saWN5L2hpbmRlbmJ1cmctY291bGQtYmUtaW4tdHJvdWJsZS1hcy11cy1zZWMtc3F1ZWV6ZXMtc2hvcnRzZWxsZXJz?oc=5
Michael C. Hall Returning To ‘Dexter’ Universe For New Series ‘Resurrection’ & ‘Original Sin’ – Comic-Con - Deadline,,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjQvMDcvbWljaGFlbC1jLWhhbGwtcmV0dXJuaW5nLWRleHRlci1yZXN1cnJlY3Rpb24tb3JpZ2luYWwtc2luLXNlcmllcy0xMjM2MDI0MjQwL9IBAA?oc=5
Venezuela election: Opposition hopes for win after years of repression - BBC.com,An economic crisis has forced millions to flee Venezuela. Could Sunday's election bring real change?,https://www.bbc.com/news/articles/c0kry1zpqq8o
"Sean Grayson, officer charged in Sonya Massey shooting, had disciplinary record: ""He was acting like a bully"" - CBS News","Sean Grayson, the now-fired Illinois sheriff's deputy charged with killing 36-year-old Sonya Massey​ in her own home, had a disciplinary file that included accusations of bullying and abuse of power, records obtained by CBS News show.",https://www.cbsnews.com/news/sean-grayson-sonya-massey-shooting-illinois-disciplinary-record/
"Shingles vaccine could help against dementia, new study suggests - WJW FOX 8 News Cleveland",,https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZm94OC5jb20vbmV3cy9zaGluZ2xlcy12YWNjaW5lLWNvdWxkLWhlbHAtYWdhaW5zdC1kZW1lbnRpYS1uZXctc3R1ZHktc3VnZ2VzdHMv0gFaaHR0cHM6Ly9mb3g4LmNvbS9uZXdzL3NoaW5nbGVzLXZhY2NpbmUtY291bGQtaGVscC1hZ2FpbnN0LWRlbWVudGlhLW5ldy1zdHVkeS1zdWdnZXN0cy9hbXAv?oc=5
Harris campaign reports record-breaking volunteer surge in key swing states - Axios,,https://consent.google.com/m
"Orioles bolster staff, acquire Eflin from Rays - ESPN",,https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vd3d3LmVzcG4uY29tL21sYi9zdG9yeS9fL2lkLzQwNjQ5MTA5L29yaW9sZXMtYm9sc3Rlci1zdGFmZi1hY3F1aXJlLXN0YXJ0ZXItemFjaC1lZmxpbi1yYXlz0gEA?oc=5
Komodo dragons have iron-coated teeth—never before seen in reptiles - National Geographic,"Just when the world’s largest reptile couldn’t get any more metal, scientists made a surprising discovery.",https://www.nationalgeographic.com/animals/article/komodo-dragons-iron-teeth-predators
Tua Tagovailoa’s new deal just made Brock Purdy’s camp smile from ear to ear - Niners Nation,,https://news.google.com/rss/articles/CBMie2h0dHBzOi8vd3d3Lm5pbmVyc25hdGlvbi5jb20vMjAyNC83LzI2LzI0MjA3MTI2L3R1YS10YWdvdmFpbG9hcy1icm9jay1wdXJkeS1qb3JkYW4tbG92ZS00OWVycy1kb2xwaGlucy1wYWNrZXJzLXFiLWV4dGVuc2lvbtIBAA?oc=5
Here’s how Galaxy Ring gestures work - 9to5Google,"The Galaxy Ring is Samsung’s own option in the smart ring market. The new ring carries gesture controls, which gives...",http://9to5google.com/2024/07/26/galaxy-ring-gestures/
New Leaked Renders Give Us the Best Look of the Google Pixel 9 Pro Fold - Gizmodo,A recent leak has surfaced showing of the upcoming Google Pixel 9 Pro Fold's design in it's full folding glory.,https://gizmodo.com/new-leaked-renders-google-pixel-9-pro-fold-2000479440
"Lego’s newest retro art piece is a 1,215-piece Super Mario World homage - Ars Technica",,https://news.google.com/rss/articles/CBMibWh0dHBzOi8vYXJzdGVjaG5pY2EuY29tL2dhbWluZy8yMDI0LzA3L2xlZ29zLW5ld2VzdC1yZXRyby1hcnQtcGllY2UtaXMtYS0xMjE1LXBpZWNlLXN1cGVyLW1hcmlvLXdvcmxkLWhvbWFnZS_SAQA?oc=5
